time,open,high,low,close,Volume,Volume MA
2020-10-16T05:45:00Z,7975,7975,7925,7925,193200,1056555
2020-10-16T06:45:00Z,7950,7950,7900,7925,1211700,1083755
2020-10-16T07:45:00Z,7925,8000,7900,8000,1871200,1155315
2020-10-19T01:45:00Z,8000,8025,7975,8000,248200,1114070
2020-10-19T02:45:00Z,8000,8000,7900,7900,521900,1076550
2020-10-19T03:45:00Z,7900,7925,7900,7900,511200,1092410
2020-10-19T05:45:00Z,7925,7950,7900,7950,291200,1044030
2020-10-19T06:45:00Z,7950,7950,7900,7925,1556600,1064850
2020-10-19T07:45:00Z,7925,7925,7900,7900,3457500,1220675
2020-10-20T01:45:00Z,7950,7950,7925,7925,356600,1053875
2020-10-20T02:45:00Z,7925,7950,7925,7950,407400,926750
2020-10-20T03:45:00Z,7925,7950,7925,7950,432100,927455
2020-10-20T05:45:00Z,7925,7975,7925,7950,480400,915630
2020-10-20T06:45:00Z,7950,7975,7900,7975,1474800,942285
2020-10-20T07:45:00Z,7950,8000,7950,8000,1633300,986285
2020-10-21T01:45:00Z,8000,8025,7975,8000,826600,955675
2020-10-21T02:45:00Z,8000,8025,7975,8000,1920000,953250
2020-10-21T03:45:00Z,8000,8025,7975,7975,542500,965580
2020-10-21T05:45:00Z,7975,8000,7975,7975,551600,967925
2020-10-21T06:45:00Z,8000,8000,7950,8000,2342000,1041500
2020-10-21T07:45:00Z,7975,8000,7950,7950,2367900,1150235
2020-10-22T01:45:00Z,7950,8000,7925,7950,509500,1115125
2020-10-22T02:45:00Z,7950,8000,7925,7950,826700,1062900
2020-10-22T03:45:00Z,7950,7950,7925,7950,425900,1071785
2020-10-22T05:45:00Z,7950,7950,7925,7950,245200,1057950
2020-10-22T06:45:00Z,7925,7950,7850,7900,4466400,1255710
2020-10-22T07:45:00Z,7900,7900,7850,7850,3409700,1411635
2020-10-23T01:45:00Z,7825,7950,7800,7900,1125800,1390095
2020-10-23T02:45:00Z,7900,7925,7875,7900,1239800,1279210
2020-10-23T03:45:00Z,7900,7925,7850,7875,476500,1285205
2020-10-23T05:45:00Z,7850,7925,7850,7875,950100,1312340
2020-10-23T06:45:00Z,7875,7900,7825,7850,2366800,1409075
2020-10-23T07:45:00Z,7825,7925,7825,7925,1797200,1474915
2020-10-26T01:45:00Z,7950,7950,7900,7900,405800,1421465
2020-10-26T02:45:00Z,7900,7925,7875,7875,689500,1374275
2020-10-26T03:45:00Z,7875,7925,7875,7900,581800,1362035
2020-10-26T05:45:00Z,7900,7925,7875,7900,365500,1284310
2020-10-26T06:45:00Z,7925,7925,7875,7900,2032900,1358830
2020-10-26T07:45:00Z,7925,7950,7875,7875,1222800,1392390
2020-10-27T01:45:00Z,7875,7900,7850,7850,509400,1300760
2020-10-27T02:45:00Z,7850,7875,7850,7875,1410300,1252880
2020-10-27T03:45:00Z,7875,7875,7850,7875,834800,1269145
2020-10-27T05:45:00Z,7875,7875,7850,7850,874200,1271520
2020-10-27T06:45:00Z,7850,7875,7775,7800,5675300,1533990
2020-10-27T07:45:00Z,7800,7825,7750,7825,3994500,1721455
