Date,Open,High,Low,Close,Adj Close,Volume,PnL,% Change
4/7/2015,959.47998,962.929993,959.02002,962.030029,962.030029,907065900,Profit,0.265774071
4/8/2015,959.659973,960.659973,951.76001,953.48999,953.48999,853123600,Loss,0.642934286
4/9/2015,955.51001,955.880005,951.400024,955.880005,955.880005,582197400,Profit,0.038722253
4/10/2015,956.72998,957.570007,948.98999,953.210022,953.210022,659400900,Loss,0.367915512
4/13/2015,950.26001,951.809998,944.429993,948.539978,948.539978,782783200,Loss,0.181006459
4/14/2015,946.280029,946.929993,936.48999,940.23999,940.23999,888534500,Loss,0.63829298
4/15/2015,942.039978,942.609985,935.059998,940.619995,940.619995,766141300,Loss,0.150734898
4/16/2015,942.22998,943.76001,937.919983,942.22998,942.22998,870383100,Same,0
4/17/2015,941.539978,943.789978,938.76001,938.76001,938.76001,811458400,Loss,0.295257564
4/20/2015,937.77002,938.349976,933.549988,937.150024,937.150024,691386000,Loss,0.066113864
4/21/2015,938.630005,952,938.23999,952,952,824888300,Profit,1.424415896
4/22/2015,949.940002,952.01001,946.5,948.059998,948.059998,742249600,Loss,0.197907657
4/23/2015,949.22998,954.710022,948.099976,948.840027,948.840027,878036100,Loss,0.041080982
4/24/2015,952.799988,955.76001,947.940002,950.47998,950.47998,728493400,Loss,0.243493706
4/27/2015,941.140015,942.369995,907.450012,910.650024,910.650024,1323965200,Loss,3.23968703
4/28/2015,901.929993,908.650024,892.840027,908.650024,908.650024,1090127500,Profit,0.745072351
4/29/2015,905.450012,907.099976,858.280029,877.289978,877.289978,1594227900,Loss,3.110059487
4/30/2015,872.809998,887.289978,859.450012,869.440002,869.440002,1652506600,Loss,0.386108776
5/4/2015,871.200012,892.27002,870.849976,885.02002,885.02002,1167228300,Profit,1.586318619
5/5/2015,888.22998,899.880005,883.619995,892.719971,892.719971,1161907700,Profit,0.5054987
5/6/2015,885.969971,897.700012,882.98999,897.700012,897.700012,901211000,Profit,1.323977266
5/7/2015,890.179993,898.580017,886.570007,890.039978,890.039978,1098586600,Loss,0.015728841
5/8/2015,896.469971,902.630005,896.26001,898.320007,898.320007,1046165800,Profit,0.206368987
5/11/2015,903.039978,905.27002,897.400024,897.400024,897.400024,719490800,Loss,0.624551973
5/12/2015,898.280029,907.690002,897.380005,902.23999,902.23999,940888500,Profit,0.440838143
5/13/2015,905.169983,913.359985,900.73999,910.97998,910.97998,1441037600,Profit,0.641868059
5/15/2015,912.580017,915.02002,903.809998,906.72998,906.72998,1103201300,Loss,0.641043732
5/18/2015,905.539978,909.309998,904.140015,909.119995,909.119995,920454600,Profit,0.395346101
5/19/2015,908.890015,917.150024,904.450012,915.700012,915.700012,886788700,Profit,0.749265245
5/20/2015,920.48999,926.630005,917.549988,922.330017,922.330017,1000246400,Profit,0.19989647
5/21/2015,926.710022,933.789978,919,927.390015,927.390015,1029731700,Profit,0.073377107
5/22/2015,929.109985,931.02002,922.75,926.599976,926.599976,639707100,Loss,0.270151978
5/25/2015,925.25,925.590027,920.52002,920.919983,920.919983,495085700,Loss,0.467983464
5/26/2015,920.080017,934.119995,919.76001,927.75,927.75,0,Profit,0.8336213
5/27/2015,921.47998,926.97998,912.929993,912.929993,912.929993,851171100,Loss,0.927853799
5/28/2015,915.450012,918.090027,908.210022,910.219971,910.219971,798009100,Loss,0.571308202
5/29/2015,908.419983,913.820007,904.130005,904.130005,904.130005,1797917300,Loss,0.472246106
6/1/2015,903.049988,904.780029,898.070007,904.780029,904.780029,544420100,Profit,0.191577545
6/3/2015,901.599976,902.700012,885.919983,887.200012,887.200012,1044838500,Loss,1.597156653
6/4/2015,884.919983,889.419983,879.330017,879.330017,879.330017,670286500,Loss,0.63169169
6/5/2015,875.710022,881.22998,874.210022,881.22998,881.22998,637827500,Profit,0.63034085
6/8/2015,877.599976,878.309998,861.969971,863.429993,863.429993,749319100,Loss,1.614628918
6/9/2015,860.179993,860.27002,830.179993,838.75,838.75,1132380600,Loss,2.491338229
6/10/2015,842.530029,856.200012,842.090027,846.679993,846.679993,1024665700,Profit,0.492559773
6/11/2015,856.27002,857.23999,840.409973,844.72998,844.72998,719062700,Loss,1.347710387
6/12/2015,846.02002,848.599976,843.159973,846.059998,846.059998,591524700,Profit,0.00472542
6/15/2015,843.359985,843.419983,825.119995,825.119995,825.119995,609942500,Loss,2.162776314
6/16/2015,827.559998,839.22998,823.390015,834.320007,834.320007,786042000,Profit,0.81686029
6/17/2015,839.940002,853.75,839.940002,850.179993,850.179993,902616600,Profit,1.219133626
6/18/2015,850.73999,854.580017,848.039978,850.580017,850.580017,711593200,Loss,0.018803983
6/19/2015,853.98999,859.359985,853.98999,857.650024,857.650024,729972500,Profit,0.428580433
6/22/2015,859.450012,859.450012,851.75,851.840027,851.840027,682864800,Loss,0.885448239
6/23/2015,853.789978,855.340027,846.549988,846.549988,846.549988,623976200,Loss,0.847982547
6/24/2015,850.530029,854.5,846.369995,849.47998,849.47998,976686600,Loss,0.123458192
6/25/2015,847.080017,847.330017,840.900024,840.900024,840.900024,1071291500,Loss,0.729564253
6/26/2015,840.130005,846.630005,836.200012,842.369995,842.369995,703532200,Profit,0.266624211
6/29/2015,835.530029,837.52002,829.77002,834.849976,834.849976,684322600,Loss,0.081391808
6/30/2015,836.080017,846.380005,833.440002,839.140015,839.140015,844391200,Profit,0.365993438
7/1/2015,842.570007,844.869995,837.419983,837.419983,837.419983,626951200,Loss,0.611228023
7/2/2015,840.070007,852.98999,840.030029,848.909973,848.909973,931638800,Profit,1.052289205
7/3/2015,847.76001,857.039978,847.070007,857.039978,857.039978,781322400,Profit,1.094645642
7/6/2015,847.640015,852.080017,842.25,843.01001,843.01001,746650500,Loss,0.546223033
7/7/2015,843.409973,845.26001,836.77002,839.869995,839.869995,754682900,Loss,0.419722094
7/8/2015,841.549988,841.549988,829.690002,831.640015,831.640015,1060721600,Loss,1.177585781
7/9/2015,826.080017,827.97998,818.5,824.72998,824.72998,774587700,Loss,0.163426904
7/10/2015,830.030029,834.799988,825.950012,829.820007,829.820007,899319100,Loss,0.02530294
7/13/2015,830.809998,838.159973,829.309998,837.539978,837.539978,684015200,Profit,0.810050435
7/14/2015,841.109985,844.869995,836.960022,839.409973,839.409973,0,Loss,0.202115304
7/15/2015,837.659973,838.349976,829.23999,832.880005,832.880005,631352700,Loss,0.57063345
7/22/2015,837.450012,842.590027,830.380005,842.590027,842.590027,1015151100,Profit,0.613769769
7/23/2015,840.169983,843.640015,837.960022,839.789978,839.789978,622805800,Loss,0.045229538
7/24/2015,836.700012,837.090027,827.02002,828.390015,828.390015,584027600,Loss,0.99318715
7/27/2015,822.390015,826.700012,808.52002,808.52002,808.52002,685634800,Loss,1.686547106
7/28/2015,802.400024,803,796.440002,796.440002,796.440002,866799000,Loss,0.742774405
7/29/2015,801.320007,807.450012,796.059998,796.059998,796.059998,871940400,Loss,0.65641803
7/30/2015,800.960022,803.840027,793.25,793.25,793.25,841819700,Loss,0.962597606
