Date,Open,High,Low,Close,Adj Close,Volume,PnL,% Change
7/28/2015,39800,40100,39500,40000,37418.16406,1226600,Profit,0.502512563
7/29/2015,40000,40025,39550,39700,37137.52734,1302300,Loss,0.75
7/30/2015,39700,39700,38100,38500,36014.97656,2564200,Loss,3.022670025
7/31/2015,38700,40050,38550,40000,37418.16406,2083400,Profit,3.359173127
8/3/2015,39250,39250,38725,38875,36365.77344,2204700,Loss,0.955414013
8/4/2015,38750,38850,38500,38600,36108.52344,1532300,Loss,0.387096774
8/5/2015,38600,39200,38550,39200,36669.79297,1426100,Profit,1.554404145
8/6/2015,39200,39325,38450,38450,35968.20313,1757600,Loss,1.913265306
8/7/2015,38725,38925,38250,38700,36202.07031,862000,Loss,0.064557779
8/10/2015,38700,38700,37775,38450,35968.20313,810200,Loss,0.645994832
8/11/2015,38500,38600,37025,37250,34845.65625,1664000,Loss,3.246753247
8/12/2015,37000,37000,35525,35750,33442.48438,2171400,Loss,3.378378378
8/13/2015,36150,38700,36000,37100,34705.34375,1791600,Profit,2.627939142
8/14/2015,37150,37425,36700,36800,34424.70313,1107300,Loss,0.942126514
8/18/2015,36700,36800,35800,36625,34261.00391,1946200,Loss,0.204359673
8/19/2015,36200,36600,35825,35925,33606.18359,1090400,Loss,0.759668508
8/20/2015,35950,36000,35600,35775,33465.86719,2168500,Loss,0.486787204
8/21/2015,35650,36925,35300,35600,33302.16406,1680800,Loss,0.140252454
8/24/2015,35000,35000,33000,34000,31805.43359,3731500,Loss,2.857142857
8/25/2015,34000,37400,33625,37100,34705.34375,2358500,Profit,9.117647059
8/26/2015,36250,37000,35750,36250,33910.20703,2530300,Same,0
8/27/2015,36600,39300,36600,38750,36248.84766,2643600,Profit,5.87431694
8/28/2015,39000,39700,38000,38000,35547.25,1442500,Loss,2.564102564
8/31/2015,39000,40400,38750,39725,37160.91016,2946600,Profit,1.858974359
9/1/2015,39475,39475,38375,38925,36412.54297,1246100,Loss,1.39328689
9/2/2015,37750,38875,37750,38500,36014.97656,1878300,Profit,1.986754967
9/3/2015,38750,39000,38175,38475,35991.58984,959800,Loss,0.709677419
9/4/2015,38475,38975,38475,38950,36435.9375,1207700,Profit,1.234567901
9/7/2015,38800,39100,37500,38150,35687.57422,981000,Loss,1.675257732
9/8/2015,38375,38400,37400,37750,35313.39453,1418600,Loss,1.628664495
9/9/2015,38000,38325,37650,38000,35547.25,1036800,Same,0
9/10/2015,37950,38300,37500,37750,35313.39453,827300,Loss,0.527009223
9/11/2015,38300,38950,38000,38750,36248.84766,1341600,Profit,1.174934726
9/14/2015,38900,40250,38900,40250,37652.02344,1394300,Profit,3.470437018
9/15/2015,40250,40250,38425,39000,36482.71094,2748400,Loss,3.105590062
9/16/2015,39075,39175,38425,38425,35944.82422,1494200,Loss,1.66346769
9/17/2015,38975,39425,38950,39100,36576.25,1384800,Profit,0.320718409
9/18/2015,39150,39550,38300,39100,36576.25,2175100,Loss,0.127713921
