time,open,high,low,close,Volume,Volume MA
2020-03-06T02:00:00Z,3730,3790,3710,3750,86476000,91727105
2020-03-09T02:00:00Z,3560,3620,3500,3500,109347300,92865045
2020-03-10T02:00:00Z,3480,3620,3480,3490,119718000,96338535
2020-03-11T02:00:00Z,3470,3480,3370,3400,115486900,98420865
2020-03-12T02:00:00Z,3300,3440,3270,3310,84363800,99304065
2020-03-13T02:00:00Z,3250,3490,3080,3390,172248400,102476820
2020-03-16T02:00:00Z,3300,3300,3160,3160,115972300,103531045
2020-03-17T02:00:00Z,3160,3160,2940,2940,150122700,106318035
2020-03-18T02:00:00Z,3010,3080,2740,2810,150147300,110639510
2020-03-19T02:00:00Z,2810,2810,2620,2620,138987300,114937105
2020-03-20T02:00:00Z,2660,2990,2450,2880,267694700,123978710
2020-03-23T02:00:00Z,2880,2880,2680,2680,86157200,124656040
2020-03-24T02:00:00Z,2700,2880,2570,2620,243778900,133145450
2020-03-26T02:00:00Z,2550,3080,2550,2980,267369500,139841430
2020-03-27T02:00:00Z,3050,3270,3050,3090,200952500,145469585
2020-03-30T02:00:00Z,3060,3180,2880,3140,134474300,144605710
2020-03-31T02:00:00Z,3180,3300,3120,3160,151302900,147330710
2020-04-01T02:00:00Z,3180,3200,3040,3100,104550600,146823330
2020-04-02T02:00:00Z,3100,3130,3020,3130,92893600,144663960
2020-04-03T02:00:00Z,3150,3220,3120,3200,83469200,143775670
2020-04-06T02:00:00Z,3280,3330,3180,3330,115495000,145226620
2020-04-07T02:00:00Z,3390,3500,3200,3220,166425600,148080535
2020-04-08T02:00:00Z,3220,3220,3050,3110,124553900,148322330
2020-04-09T02:00:00Z,3110,3180,3030,3120,122622400,148679105
2020-04-13T02:00:00Z,3140,3230,3130,3180,45469500,146734390
2020-04-14T02:00:00Z,3200,3250,3160,3240,79114600,142077700
2020-04-15T02:00:00Z,3250,3300,3090,3110,69832000,139770685
2020-04-16T02:00:00Z,3110,3110,3000,3000,109582500,137743675
2020-04-17T02:00:00Z,3050,3250,3050,3230,127860400,136629330
2020-04-20T02:00:00Z,3270,3270,3120,3120,77306900,133545310
2020-04-21T02:00:00Z,3120,3130,3050,3070,43239400,122322545
2020-04-22T02:00:00Z,3050,3270,3030,3160,126278300,124328600
2020-04-23T02:00:00Z,3200,3240,3070,3070,117391500,118009230
2020-04-24T02:00:00Z,3100,3160,3080,3090,84061400,108843825
2020-04-27T02:00:00Z,3120,3200,3100,3150,85475400,103069970
2020-04-28T02:00:00Z,3170,3200,3140,3160,80212700,100356890
2020-04-29T02:00:00Z,3200,3390,3100,3350,154902100,100536850
